<p>집계 기간 : 2025/02/08 00:00:00 ~ 2025/02/14 23:59:00</p>
    <p>(글+3점, 댓글+1점)</p>
    <p>총 글 수: 10440개, 총 댓글 수: 32314개</p>
    <p>1등 : 아일러브릿(remind2852) | 총 점: 3464점 | 갤 지분(총점): 5.44% | 글 444개(3위), 댓글 2132개(1위)</p>
    <hr><p>17등 : 칸예와원희(canada9224) | 총 점: 1285점 | 갤 지분(총점): 2.02% | 글 212개(20위), 댓글 649개(14위)</p>
    <hr><p>18등 : 아일릿노윤아(newjillit) | 총 점: 1205점 | 갤 지분(총점): 1.89% | 글 370개(4위), 댓글 95개(54위)</p>
    <hr><p>19등 : 카와이로하(insure8934) | 총 점: 1184점 | 갤 지분(총점): 1.86% | 글 258개(13위), 댓글 410개(25위)</p>
    <hr><p>20등 : 김치만두(cling9365) | 총 점: 1092점 | 갤 지분(총점): 1.72% | 글 266개(11위), 댓글 294개(30위)</p>
    <hr><p>21등 : 민주쥬(support0699) | 총 점: 1089점 | 갤 지분(총점): 1.71% | 글 266개(11위), 댓글 291개(31위)</p>
    <hr><p>22등 : 민주올랭이(diagonal2998) | 총 점: 1078점 | 갤 지분(총점): 1.69% | 글 237개(18위), 댓글 367개(27위)</p>
    <hr><p>23등 : 목화둥둥(decided9769) | 총 점: 997점 | 갤 지분(총점): 1.57% | 글 173개(23위), 댓글 478개(22위)</p>
    <hr><p>24등 : mj@(charity2973) | 총 점: 921점 | 갤 지분(총점): 1.45% | 글 130개(28위), 댓글 531개(20위)</p>
    <hr><p>25등 : 윤아가좋다고해.(locker1921) | 총 점: 920점 | 갤 지분(총점): 1.45% | 글 136개(26위), 댓글 512개(21위)</p>
    <hr><p>26등 : All4U_0204(sunset6482) | 총 점: 853점 | 갤 지분(총점): 1.34% | 글 14개(67위), 댓글 811개(10위)</p>
    <hr><p>27등 : dkdlfflt_(solar5548) | 총 점: 783점 | 갤 지분(총점): 1.23% | 글 184개(21위), 댓글 231개(38위)</p>
    <hr><p>28등 : 밍주편의점(boost6826) | 총 점: 772점 | 갤 지분(총점): 1.21% | 글 122개(29위), 댓글 406개(26위)</p>
    <hr><p>29등 : 은행장(duck3113) | 총 점: 738점 | 갤 지분(총점): 1.16% | 글 149개(24위), 댓글 291개(31위)</p>
    <hr><p>29등 : 이로하이(series2788) | 총 점: 738점 | 갤 지분(총점): 1.16% | 글 65개(41위), 댓글 543개(17위)</p>
    <hr><p>30등 : MYWORLD(peace0657) | 총 점: 705점 | 갤 지분(총점): 1.11% | 글 55개(43위), 댓글 540개(18위)</p>
    <hr><p>31등 : 김모카카오(dual9472) | 총 점: 625점 | 갤 지분(총점): 0.98% | 글 98개(34위), 댓글 331개(28위)</p>
    <hr><p>32등 : 아일릿박민주(exactly0546) | 총 점: 615점 | 갤 지분(총점): 0.97% | 글 131개(27위), 댓글 222개(40위)</p>
    <hr><p>33등 : 오리민주(stable1216) | 총 점: 609점 | 갤 지분(총점): 0.96% | 글 112개(32위), 댓글 273개(33위)</p>
    <hr><p>34등 : 김뫀카(pulse6072) | 총 점: 589점 | 갤 지분(총점): 0.93% | 글 115개(31위), 댓글 244개(36위)</p>
    <hr><p>35등 : 밍밍해(turkey9011) | 총 점: 513점 | 갤 지분(총점): 0.81% | 글 116개(30위), 댓글 165개(48위)</p>
    <hr><p>35등 : 햄모찌,ㅇㅇ(october0381) | 총 점: 513점 | 갤 지분(총점): 0.81% | 글 68개(40위), 댓글 309개(29위)</p>
    <hr><p>36등 : 아일릿의길(flour8054) | 총 점: 504점 | 갤 지분(총점): 0.79% | 글 29개(57위), 댓글 417개(24위)</p>
    <hr><p>37등 : 모카프라페(republic1795) | 총 점: 502점 | 갤 지분(총점): 0.79% | 글 79개(38위), 댓글 265개(34위)</p>
    <hr><p>37등 : 동그라미원희(pocket8473) | 총 점: 502점 | 갤 지분(총점): 0.79% | 글 94개(35위), 댓글 220개(41위)</p>
    <hr><p>38등 : 고양이원희(crow8529) | 총 점: 486점 | 갤 지분(총점): 0.76% | 글 108개(33위), 댓글 162개(49위)</p>
    <hr><p>39등 : 모희또즈(illit54321) | 총 점: 457점 | 갤 지분(총점): 0.72% | 글 93개(36위), 댓글 178개(47위)</p>
    <hr><p>40등 : lofycurse(curse2408) | 총 점: 449점 | 갤 지분(총점): 0.71% | 글 144개(25위), 댓글 17개(83위)</p>
    <hr><p>41등 : 애기미모(vjvadfkg9x2e) | 총 점: 404점 | 갤 지분(총점): 0.63% | 글 73개(39위), 댓글 185개(46위)</p>
    <hr><p>42등 : 글릿윤(weaken8006) | 총 점: 399점 | 갤 지분(총점): 0.63% | 글 41개(50위), 댓글 276개(32위)</p>
    <hr><p>43등 : 뫀아(burn4444) | 총 점: 396점 | 갤 지분(총점): 0.62% | 글 55개(43위), 댓글 231개(38위)</p>
    <hr><p>44등 : Caruso(monkey1626) | 총 점: 392점 | 갤 지분(총점): 0.62% | 글 44개(49위), 댓글 260개(35위)</p>
    <hr><p>45등 : 박민주할수이따(clear3255) | 총 점: 386점 | 갤 지분(총점): 0.61% | 글 54개(44위), 댓글 224개(39위)</p>
    <hr><p>46등 : 복서이로하(clothe4620) | 총 점: 361점 | 갤 지분(총점): 0.57% | 글 53개(45위), 댓글 202개(43위)</p>
    <hr><p>47등 : 민주만바라바(scandal9830) | 총 점: 331점 | 갤 지분(총점): 0.52% | 글 87개(37위), 댓글 70개(62위)</p>
    <hr><p>48등 : 민주에몽(welfare1220) | 총 점: 328점 | 갤 지분(총점): 0.52% | 글 50개(47위), 댓글 178개(47위)</p>
    <hr><p>49등 : 밍주(invent2762) | 총 점: 327점 | 갤 지분(총점): 0.51% | 글 39개(51위), 댓글 210개(42위)</p>
    <hr><p>50등 : 마지막사랑(producer5747) | 총 점: 314점 | 갤 지분(총점): 0.49% | 글 26개(60위), 댓글 236개(37위)</p>
    <hr><p>51등 : 시나모카롤(bully9764) | 총 점: 309점 | 갤 지분(총점): 0.49% | 글 39개(51위), 댓글 192개(45위)</p>
    <hr><p>52등 : 민모즈(resemble6229) | 총 점: 298점 | 갤 지분(총점): 0.47% | 글 50개(47위), 댓글 148개(50위)</p>
    <hr><p>53등 : 사카이로하(assure7990) | 총 점: 266점 | 갤 지분(총점): 0.42% | 글 59개(42위), 댓글 89개(56위)</p>
    <hr><p>54등 : 이로하하(compel2655) | 총 점: 256점 | 갤 지분(총점): 0.40% | 글 20개(64위), 댓글 196개(44위)</p>
    <hr><p>55등 : 예술은배고프다(chan1205) | 총 점: 229점 | 갤 지분(총점): 0.36% | 글 39개(51위), 댓글 112개(52위)</p>
    <hr><p>56등 : 이로뽕꼬삥(baked5327) | 총 점: 225점 | 갤 지분(총점): 0.35% | 글 44개(49위), 댓글 93개(55위)</p>
    <hr><p>57등 : 러블리잇(fearful3812) | 총 점: 224점 | 갤 지분(총점): 0.35% | 글 36개(54위), 댓글 116개(51위)</p>
    <hr><p>58등 : 이로하그녀는신인가?(beyond6758) | 총 점: 203점 | 갤 지분(총점): 0.32% | 글 51개(46위), 댓글 50개(66위)</p>
    <hr><p>59등 : 천사모카(shiny1213) | 총 점: 198점 | 갤 지분(총점): 0.31% | 글 46개(48위), 댓글 60개(65위)</p>
    <hr><p>60등 : 모카골드(confirm9076) | 총 점: 194점 | 갤 지분(총점): 0.30% | 글 54개(44위), 댓글 32개(73위)</p>
    <hr><p>61등 : 민주라니(bq2vt1t6jjgo) | 총 점: 190점 | 갤 지분(총점): 0.30% | 글 37개(53위), 댓글 79개(60위)</p>
    <hr><p>62등 : 민주렐라(wanted5128) | 총 점: 167점 | 갤 지분(총점): 0.26% | 글 22개(62위), 댓글 101개(53위)</p>
    <hr><p>63등 : 릿또아(youth2234) | 총 점: 166점 | 갤 지분(총점): 0.26% | 글 28개(58위), 댓글 82개(58위)</p>
    <hr><p>64등 : 목화(ifqff7r5g77n) | 총 점: 151점 | 갤 지분(총점): 0.24% | 글 38개(52위), 댓글 37개(71위)</p>
    <hr><p>65등 : 이모이즈(foolish2549) | 총 점: 145점 | 갤 지분(총점): 0.23% | 글 11개(70위), 댓글 112개(52위)</p>
    <hr><p>65등 : 아일뽕꼬삥(much5774) | 총 점: 145점 | 갤 지분(총점): 0.23% | 글 32개(56위), 댓글 49개(67위)</p>
    <hr><p>66등 : 아일릿윤아(vitztang) | 총 점: 143점 | 갤 지분(총점): 0.22% | 글 33개(55위), 댓글 44개(69위)</p>
    <hr><p>67등 : 이퓨노윤아(detect8729) | 총 점: 138점 | 갤 지분(총점): 0.22% | 글 22개(62위), 댓글 72개(61위)</p>
    <hr><p>68등 : 모과(state3266) | 총 점: 131점 | 갤 지분(총점): 0.21% | 글 21개(63위), 댓글 68개(63위)</p>
    <hr><p>69등 : 워닝(vh4zz8yvws18) | 총 점: 117점 | 갤 지분(총점): 0.18% | 글 17개(65위), 댓글 66개(64위)</p>
    <hr><p>70등 : 민주바보(smile9964) | 총 점: 113점 | 갤 지분(총점): 0.18% | 글 27개(59위), 댓글 32개(73위)</p>
    <hr><p>71등 : 봄향기(salary8349) | 총 점: 107점 | 갤 지분(총점): 0.17% | 글 25개(61위), 댓글 32개(73위)</p>
    <hr><p>72등 : 민주웨스트(back4419) | 총 점: 95점 | 갤 지분(총점): 0.15% | 글 9개(72위), 댓글 68개(63위)</p>
    <hr><p>73등 : 모캉(shirt1238) | 총 점: 92점 | 갤 지분(총점): 0.14% | 글 4개(77위), 댓글 80개(59위)</p>
    <hr><p>73등 : iROHA(lesson0339) | 총 점: 92점 | 갤 지분(총점): 0.14% | 글 2개(79위), 댓글 86개(57위)</p>
    <hr><p>74등 : OI웒디(railroad5509) | 총 점: 85점 | 갤 지분(총점): 0.13% | 글 1개(80위), 댓글 82개(58위)</p>
    <hr><p>75등 : 민주라떼(wild2331) | 총 점: 84점 | 갤 지분(총점): 0.13% | 글 21개(63위), 댓글 21개(79위)</p>
    <hr><p>76등 : 덮민주(power1771) | 총 점: 75점 | 갤 지분(총점): 0.12% | 글 20개(64위), 댓글 15개(84위)</p>
    <hr><p>77등 : LITLIT(harbor3415) | 총 점: 73점 | 갤 지분(총점): 0.11% | 글 22개(62위), 댓글 7개(89위)</p>
    <hr><p>78등 : 희죽히죽(dozen0464) | 총 점: 66점 | 갤 지분(총점): 0.10% | 글 12개(69위), 댓글 30개(74위)</p>
    <hr><p>79등 : 로하냥이(pangpang511) | 총 점: 65점 | 갤 지분(총점): 0.10% | 글 15개(66위), 댓글 20개(80위)</p>
    <hr><p>80등 : 잼민희(spoiler1825) | 총 점: 60점 | 갤 지분(총점): 0.09% | 글 6개(75위), 댓글 42개(70위)</p>
    <hr><p>81등 : 귤릿(diamond1100) | 총 점: 57점 | 갤 지분(총점): 0.09% | 글 7개(74위), 댓글 36개(72위)</p>
    <hr><p>82등 : 냥서GO(k4yku9ww68gd) | 총 점: 53점 | 갤 지분(총점): 0.08% | 글 13개(68위), 댓글 14개(85위)</p>
    <hr><p>83등 : 212로하(detector4523) | 총 점: 51점 | 갤 지분(총점): 0.08% | 글 1개(80위), 댓글 48개(68위)</p>
    <hr><p>84등 : 세이코코코(golden3291) | 총 점: 47점 | 갤 지분(총점): 0.07% | 글 8개(73위), 댓글 23개(77위)</p>
    <hr><p>85등 : 노스타(notebook4192) | 총 점: 46점 | 갤 지분(총점): 0.07% | 글 8개(73위), 댓글 22개(78위)</p>
    <hr><p>86등 : 오끼(thus4000) | 총 점: 43점 | 갤 지분(총점): 0.07% | 글 11개(70위), 댓글 10개(87위)</p>
    <hr><p>87등 : 귀요미원희(tense7214) | 총 점: 42점 | 갤 지분(총점): 0.07% | 글 8개(73위), 댓글 18개(82위)</p>
    <hr><p>88등 : 브로니원희스(nest0727) | 총 점: 39점 | 갤 지분(총점): 0.06% | 글 7개(74위), 댓글 18개(82위)</p>
    <hr><p>89등 : 갓워니(author9838) | 총 점: 38점 | 갤 지분(총점): 0.06% | 글 6개(75위), 댓글 20개(80위)</p>
    <hr><p>89등 : 밍주좋아(step3227) | 총 점: 38점 | 갤 지분(총점): 0.06% | 글 9개(72위), 댓글 11개(86위)</p>
    <hr><p>90등 : 호빵맨가챠깡(capable8063) | 총 점: 36점 | 갤 지분(총점): 0.06% | 글 4개(77위), 댓글 24개(76위)</p>
    <hr><p>91등 : ㄷㄷ,ㅇㅇ,릿갤러(118.235) | 총 점: 35점 | 갤 지분(총점): 0.06% | 글 11개(70위), 댓글 2개(94위)</p>
    <hr><p>92등 : 메추리종(pancake8060) | 총 점: 32점 | 갤 지분(총점): 0.05% | 글 6개(75위), 댓글 14개(85위)</p>
    <hr><p>93등 : 원희모카(theirs0212) | 총 점: 31점 | 갤 지분(총점): 0.05% | 글 1개(80위), 댓글 28개(75위)</p>
    <hr><p>94등 : 모카바보(extend9851) | 총 점: 30점 | 갤 지분(총점): 0.05% | 글 5개(76위), 댓글 15개(84위)</p>
    <hr><p>94등 : ㅇㅇ,릿갤러(106.101) | 총 점: 30점 | 갤 지분(총점): 0.05% | 글 10개(71위), 댓글 0개(96위)</p>
    <hr><p>95등 : 모카찡(222.112) | 총 점: 29점 | 갤 지분(총점): 0.05% | 글 9개(72위), 댓글 2개(94위)</p>
    <hr><p>96등 : 모카카오(august8386) | 총 점: 27점 | 갤 지분(총점): 0.04% | 글 2개(79위), 댓글 21개(79위)</p>
    <hr><p>96등 : 릿갤러(64.176) | 총 점: 27점 | 갤 지분(총점): 0.04% | 글 9개(72위), 댓글 0개(96위)</p>
    <hr><p>97등 : ㅇㅇ(dance6109) | 총 점: 24점 | 갤 지분(총점): 0.04% | 글 6개(75위), 댓글 6개(90위)</p>
    <hr><p>97등 : 히이잉(chlwltn4444) | 총 점: 24점 | 갤 지분(총점): 0.04% | 글 0개(81위), 댓글 24개(76위)</p>
    <hr><p>98등 : Shub(guitar1047) | 총 점: 23점 | 갤 지분(총점): 0.04% | 글 3개(78위), 댓글 14개(85위)</p>
    <hr><p>98등 : 위일릿(door7690) | 총 점: 23점 | 갤 지분(총점): 0.04% | 글 7개(74위), 댓글 2개(94위)</p>
    <hr><p>99등 : AlmondChocolate(juice1213) | 총 점: 21점 | 갤 지분(총점): 0.03% | 글 6개(75위), 댓글 3개(93위)</p>
    <hr><p>99등 : 모카카오^^(barrier0211) | 총 점: 21점 | 갤 지분(총점): 0.03% | 글 5개(76위), 댓글 6개(90위)</p>
    <hr><p>100등 : 뉴비글릿(keen7656) | 총 점: 20점 | 갤 지분(총점): 0.03% | 글 6개(75위), 댓글 2개(94위)</p>
    <hr><p>101등 : 로하가아니라이로하다(summer0728) | 총 점: 19점 | 갤 지분(총점): 0.03% | 글 0개(81위), 댓글 19개(81위)</p>
    <hr><p>102등 : (real8052) | 총 점: 18점 | 갤 지분(총점): 0.03% | 글 6개(75위), 댓글 0개(96위)</p>
    <hr><p>102등 : 반했다(beam2380) | 총 점: 18점 | 갤 지분(총점): 0.03% | 글 0개(81위), 댓글 18개(82위)</p>
    <hr><p>103등 : 아일릿이원희(foreverwonhee) | 총 점: 17점 | 갤 지분(총점): 0.03% | 글 3개(78위), 댓글 8개(88위)</p>
    <hr><p>104등 : (chalk6929) | 총 점: 15점 | 갤 지분(총점): 0.02% | 글 5개(76위), 댓글 0개(96위)</p>
    <hr><p>104등 : 릿갤러(158.247) | 총 점: 15점 | 갤 지분(총점): 0.02% | 글 5개(76위), 댓글 0개(96위)</p>
    <hr><p>104등 : (eltl0213) | 총 점: 15점 | 갤 지분(총점): 0.02% | 글 5개(76위), 댓글 0개(96위)</p>
    <hr><p>105등 : 비타민주스(surely4559) | 총 점: 14점 | 갤 지분(총점): 0.02% | 글 4개(77위), 댓글 2개(94위)</p>
    <hr><p>105등 : 릿민주(nb2o9oqe2hry) | 총 점: 14점 | 갤 지분(총점): 0.02% | 글 2개(79위), 댓글 8개(88위)</p>
    <hr><p>105등 : 민덍이(draft8987) | 총 점: 14점 | 갤 지분(총점): 0.02% | 글 0개(81위), 댓글 14개(85위)</p>
    <hr><p>105등 : 융친놈(later2905) | 총 점: 14점 | 갤 지분(총점): 0.02% | 글 2개(79위), 댓글 8개(88위)</p>
    <hr><p>105등 : 슈크림즈(lounge2231) | 총 점: 14점 | 갤 지분(총점): 0.02% | 글 2개(79위), 댓글 8개(88위)</p>
    <hr><p>105등 : 토끼모카(melody4395) | 총 점: 14점 | 갤 지분(총점): 0.02% | 글 3개(78위), 댓글 5개(91위)</p>
    <hr><p>106등 : 꼬부기이로하(fame4870) | 총 점: 13점 | 갤 지분(총점): 0.02% | 글 2개(79위), 댓글 7개(89위)</p>
    <hr><p>106등 : 냐옹릿(dose0337) | 총 점: 13점 | 갤 지분(총점): 0.02% | 글 4개(77위), 댓글 1개(95위)</p>
    <hr><p>107등 : 페어리민주(remark7583) | 총 점: 12점 | 갤 지분(총점): 0.02% | 글 3개(78위), 댓글 3개(93위)</p>
    <hr><p>107등 : 릿갤러(14.32) | 총 점: 12점 | 갤 지분(총점): 0.02% | 글 4개(77위), 댓글 0개(96위)</p>
    <hr><p>107등 : ㅇㅇ(211.235) | 총 점: 12점 | 갤 지분(총점): 0.02% | 글 4개(77위), 댓글 0개(96위)</p>
    <hr><p>107등 : (ship8435) | 총 점: 12점 | 갤 지분(총점): 0.02% | 글 4개(77위), 댓글 0개(96위)</p>
    <hr><p>108등 : ㅇㅇ(115.139) | 총 점: 11점 | 갤 지분(총점): 0.02% | 글 3개(78위), 댓글 2개(94위)</p>
    <hr><p>108등 : SakaiMoka(venus1000) | 총 점: 11점 | 갤 지분(총점): 0.02% | 글 1개(80위), 댓글 8개(88위)</p>
    <hr><p>109등 : 덕소의자랑박민주(extract8566) | 총 점: 10점 | 갤 지분(총점): 0.02% | 글 0개(81위), 댓글 10개(87위)</p>
    <hr><p>109등 : Mustard0310(elect2083) | 총 점: 10점 | 갤 지분(총점): 0.02% | 글 1개(80위), 댓글 7개(89위)</p>
    <hr><p>110등 : ㄷ.ㄷ(hoyyye2) | 총 점: 9점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 3개(93위)</p>
    <hr><p>110등 : 릿붕이,ㅇㅇ,릿갤러(211.36) | 총 점: 9점 | 갤 지분(총점): 0.01% | 글 3개(78위), 댓글 0개(96위)</p>
    <hr><p>110등 : ㅇㅇ(cream2831) | 총 점: 9점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 6개(90위)</p>
    <hr><p>111등 : 모카레(likely0838) | 총 점: 8점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 2개(94위)</p>
    <hr><p>111등 : 써비스많이(bgbong1) | 총 점: 8점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 5개(91위)</p>
    <hr><p>111등 : 공대생김모카(coffee3040) | 총 점: 8점 | 갤 지분(총점): 0.01% | 글 0개(81위), 댓글 8개(88위)</p>
    <hr><p>112등 : ㅇㅇ(upside7214) | 총 점: 7점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 1개(95위)</p>
    <hr><p>112등 : ㅇㅇ(deaf0955) | 총 점: 7점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 1개(95위)</p>
    <hr><p>112등 : 민주은행장님(abort9263) | 총 점: 7점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 4개(92위)</p>
    <hr><p>112등 : 피프티음총팀총대(hundred4724) | 총 점: 7점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 1개(95위)</p>
    <hr><p>112등 : 맹맹이(terrace0947) | 총 점: 7점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 1개(95위)</p>
    <hr><p>112등 : 모카모롤(logical6593) | 총 점: 7점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 1개(95위)</p>
    <hr><p>113등 : イロハ(tune1846) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 3개(93위)</p>
    <hr><p>113등 : 릿갤러(112.184) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : 릿갤러(211.228) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : 릿갤러(122.43) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : (trick8004) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : (west8639) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : 릿갤러(1.227) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : (goat4216) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : ㅇㅇ(119.198) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : 릿갤러(121.165) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : (tone2800) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : ㅇㅇ,릿갤러(116.123) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 2개(79위), 댓글 0개(96위)</p>
    <hr><p>113등 : 델리민쥬(novel3429) | 총 점: 6점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 3개(93위)</p>
    <hr><p>114등 : 릿일아(emit8722) | 총 점: 5점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 2개(94위)</p>
    <hr><p>114등 : 2094(boss2094) | 총 점: 5점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 2개(94위)</p>
    <hr><p>114등 : MINJUnow(ruin4674) | 총 점: 5점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 2개(94위)</p>
    <hr><p>115등 : ㅇㅇ(1.248) | 총 점: 4점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 1개(95위)</p>
    <hr><p>115등 : 디디(panic9134) | 총 점: 4점 | 갤 지분(총점): 0.01% | 글 1개(80위), 댓글 1개(95위)</p>
    <hr><p>115등 : 모희또즈한잔(glad7397) | 총 점: 4점 | 갤 지분(총점): 0.01% | 글 0개(81위), 댓글 4개(92위)</p>
    <hr><p>116등 : ㅇㅇ(211.57) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : ㅇㅇ(220.94) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (ready1001) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(211.34) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (r44bxocnyiyv) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 마요별뚜(fortune1413) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 3개(93위)</p>
    <hr><p>116등 : 릿갤러(122.153) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (descend5598) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(1.233) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (hyunmile) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(118.127) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (gdgd1714) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(112.162) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (reverse3761) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (mcdonaldsbigmac) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(221.158) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (believe0755) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (downtown2978) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(211.107) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
